player_id,full_name,first_name,last_name,season,shot_zone_basic,shot_zone_area,fga,fgm,fg_pct,league_fga,league_fgm,league_fg_pct,pct_diff
1628384,OG Anunoby,OG,Anunoby,2022-23,In The Paint (Non-RA),Center(C),141,52,0.3688,6180,2799,0.4529,-0.0841
1628384,OG Anunoby,OG,Anunoby,2022-23,In The Paint (Non-RA),Left Side(L),2,0,0.0,420,203,0.4833,-0.4833
1628384,OG Anunoby,OG,Anunoby,2022-23,In The Paint (Non-RA),Right Side(R),5,2,0.4,466,222,0.4764,-0.0764
1628384,OG Anunoby,OG,Anunoby,2022-23,Left Corner 3,Left Side(L),90,42,0.4667,1041,434,0.4169,0.0498
1628384,OG Anunoby,OG,Anunoby,2022-23,Mid-Range,Center(C),23,14,0.6087,1100,486,0.4418,0.1669
1628384,OG Anunoby,OG,Anunoby,2022-23,Mid-Range,Left Side Center(LC),12,5,0.4167,723,292,0.4039,0.0128
1628384,OG Anunoby,OG,Anunoby,2022-23,Mid-Range,Left Side(L),13,3,0.2308,1305,551,0.4222,-0.1914
1628384,OG Anunoby,OG,Anunoby,2022-23,Mid-Range,Right Side Center(RC),13,4,0.3077,814,388,0.4767,-0.169
1628384,OG Anunoby,OG,Anunoby,2022-23,Mid-Range,Right Side(R),13,6,0.4615,1287,585,0.4545,0.007
1628384,OG Anunoby,OG,Anunoby,2022-23,Restricted Area,Center(C),298,194,0.651,9615,6601,0.6865,-0.0355
1628384,OG Anunoby,OG,Anunoby,2022-23,Right Corner 3,Right Side(R),70,30,0.4286,991,399,0.4026,0.026
1628384,OG Anunoby,OG,Anunoby,2023-24,Above the Break 3,Center(C),29,14,0.4828,3110,1144,0.3678,0.115
1628384,OG Anunoby,OG,Anunoby,2023-24,Above the Break 3,Left Side Center(LC),62,19,0.3065,4149,1558,0.3755,-0.069
1628384,OG Anunoby,OG,Anunoby,2023-24,Above the Break 3,Right Side Center(RC),40,9,0.225,3883,1445,0.3721,-0.1471
1628384,OG Anunoby,OG,Anunoby,2023-24,In The Paint (Non-RA),Center(C),62,17,0.2742,6614,3028,0.4578,-0.1836
1628384,OG Anunoby,OG,Anunoby,2023-24,In The Paint (Non-RA),Left Side(L),3,2,0.6667,508,239,0.4705,0.1962
1628384,OG Anunoby,OG,Anunoby,2023-24,In The Paint (Non-RA),Right Side(R),1,1,1.0,507,225,0.4438,0.5562
1628384,OG Anunoby,OG,Anunoby,2023-24,Left Corner 3,Left Side(L),82,38,0.4634,1020,403,0.3951,0.0683
1628384,OG Anunoby,OG,Anunoby,2023-24,Mid-Range,Center(C),13,5,0.3846,1403,647,0.4612,-0.0766
